03 06 98,09 27 44.000647876,32.70264006,-117.2090398,92,344.7,106.06,2.3126,270.76,-0.51,0
03 06 98,09 27 45.000661165,32.70259062,-117.2090379,94,349.1,101.73,2.3127,270.83,-0.51,0
03 06 98,09 27 46.000674458,32.70253701,-117.2090312,91,349,101.91,2.3131,270.91,-0.51,0
03 06 98,09 27 47.000687754,32.70248645,-117.2090221,87,349.1,101.89,2.3136,270.99,-0.51,0
03 06 98,09 27 48.000701047,32.70243923,-117.2090134,88,348.8,102.26,2.3141,271.06,-0.51,0
03 06 98,09 27 49.000714340,32.70239006,-117.2090057,92,349.1,102.03,2.3145,271.13,-0.51,0
03 06 98,09 27 50.000727629,32.70234118,-117.2089923,92,347.1,104.1,2.3153,271.2,-0.51,0
03 06 98,09 27 51.000740921,32.70229423,-117.2089857,93,349.2,102.07,2.3157,271.27,-0.51,0
03 06 98,09 27 52.000754204,32.70224229,-117.2089829,92,351.1,100.25,2.3159,271.35,-0.51,0
03 06 98,09 27 53.000767494,32.70219118,-117.2089768,89,350.9,100.52,2.3163,271.42,-0.51,0
03 06 98,09 27 54.000780779,32.70214506,-117.2089698,81,350.7,100.79,2.3167,271.49,-0.51,0
03 06 98,09 27 55.000794068,32.70209951,-117.2089646,76,351.4,100.16,2.317,271.56,-0.51,0
03 06 98,09 27 56.000807360,32.70205034,-117.2089571,79,350.8,100.83,2.3175,271.63,-0.51,0
03 06 98,09 27 57.000820645,32.70199673,-117.208949,81,350.9,100.81,2.318,271.71,-0.51,0
03 06 98,09 27 58.000833938,32.70194423,-117.2089312,80,346.5,105.28,2.319,271.78,-0.51,0
03 06 98,09 27 59.000847231,32.70190312,-117.2089115,85,343.5,108.34,2.32,271.84,-0.51,0
03 06 98,09 28 00.000860520,32.70185729,-117.2089004,87,345.8,106.11,2.3207,271.91,-0.51,0
03 06 98,09 28 01.000873810,32.70181062,-117.2088873,87,344.1,107.88,2.3215,271.98,-0.51,0
03 06 98,09 28 02.000887098,32.70176395,-117.2088809,84,347.7,104.35,2.3219,272.05,-0.51,0
03 06 98,09 28 03.000900390,32.70171395,-117.2088732,83,347.5,104.62,2.3224,272.12,-0.51,0
03 06 98,09 28 04.000913674,32.70166673,-117.2088632,84,347.5,104.69,2.323,272.19,-0.51,0
03 06 98,09 28 05.000926972,32.70163173,-117.2088562,80,347.3,104.94,2.3234,272.24,-0.51,0
03 06 98,09 28 06.000940261,32.70158895,-117.2088468,84,347.2,105.11,2.324,272.31,-0.51,0
03 06 98,09 28 07.000953558,32.70152729,-117.2088401,91,350.3,102.1,2.3245,272.4,-0.51,0
03 06 98,09 28 08.000966844,32.70147229,-117.2088334,90,350.2,102.28,2.325,272.48,-0.51,0
03 06 98,09 28 09.000980136,32.70143145,-117.2088212,89,347.3,105.24,2.3257,272.54,-0.51,0
03 06 98,09 28 10.000993422,32.70138784,-117.2088057,92,345.4,107.2,2.3266,272.6,-0.51,0
03 06 98,09 28 11.000006710,32.70133951,-117.2087909,98,344.9,107.77,2.3275,272.67,-0.51,0
03 06 98,09 28 12.000019990,32.70128951,-117.2087826,100,347.4,105.34,2.328,272.74,-0.51,0
03 06 98,09 28 13.000033285,32.70123812,-117.2087732,99,347.2,105.62,2.3287,272.82,-0.51,0
03 06 98,09 28 14.000046575,32.7011884,-117.2087609,99,346.6,106.29,2.3294,272.89,-0.51,0
03 06 98,09 28 15.000059859,32.70113812,-117.2087448,95,345.1,107.86,2.3304,272.96,-0.51,0
03 06 98,09 28 16.000073145,32.70109006,-117.2087307,94,344.8,108.23,2.3313,273.03,-0.51,0
03 06 98,09 28 17.000086433,32.70104256,-117.2087229,96,347,106.1,2.3318,273.1,-0.51,0
03 06 98,09 28 18.000099721,32.70099368,-117.2087123,96,346.5,106.67,2.3325,273.17,-0.51,0
03 06 98,09 28 19.000113016,32.70094729,-117.2086934,97,343.4,109.84,2.3336,273.24,-0.51,0
03 06 98,09 28 20.000126304,32.70089895,-117.2086765,96,343.3,110.01,2.3346,273.31,-0.51,0
03 06 98,09 28 21.000139597,32.70084923,-117.2086693,97,346.6,106.78,2.3352,273.38,-0.51,0
03 06 98,09 28 22.000152887,32.7007984,-117.2086576,93,345.8,107.66,2.3359,273.46,-0.51,0
03 06 98,09 28 23.000166173,32.70075562,-117.2086387,89,342.5,111.02,2.337,273.52,-0.51,0
03 06 98,09 28 24.000179466,32.70070812,-117.2086257,93,344.6,108.98,2.3379,273.58,-0.51,0
03 06 98,09 28 25.000192759,32.70065645,-117.2086193,94,347.5,106.16,2.3384,273.66,-0.51,0
03 06 98,09 28 26.000206055,32.70060673,-117.2086065,96,345.5,108.23,2.3392,273.73,-0.51,0
03 06 98,09 28 27.000219355,32.70056423,-117.2085946,93,345.5,108.29,2.34,273.79,-0.51,0
03 06 98,09 28 28.000232647,32.70051812,-117.2085843,88,346.1,107.76,2.3407,273.86,-0.51,0
03 06 98,09 28 29.000245940,32.70046256,-117.2085721,84,346.7,107.24,2.3415,273.94,-0.51,0
03 06 98,09 28 30.000259235,32.70040923,-117.208564,82,348.4,105.62,2.3422,274.02,-0.51,0
03 06 98,09 28 31.000272530,32.70035868,-117.2085582,81,349.5,104.59,2.3427,274.09,-0.51,0
